propId,label,description,label.desc,count,type,cluster id
P119,location of burial,"location of grave, resting place, place of ash-scattering, etc, (e.g. city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.","location of burial location of grave, resting place, place of ash-scattering, etc, (e.g. city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.",34583,wikibase-item,cluster_0
P1192,connecting service,service stopping at a station,connecting service service stopping at a station,969,wikibase-item,cluster_0
P1196,manner of death,"circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident","manner of death circumstances of a person's death; one of: natural causes, accident, suicide, homicide, pending investigation or special 'unknown value'.  Use 'cause of death' (P509) for more immediate or underlying causes and events, e.g. heart attack, car accident",3873,wikibase-item,cluster_0
P1200,bodies of water basin category,the category associated with the basin of a bodies of water,bodies of water basin category the category associated with the basin of a bodies of water,1980,wikibase-item,cluster_0
P1201,space tug,"spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory","space tug spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory",365,wikibase-item,cluster_0
P1202,carries scientific instrument,"scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating","carries scientific instrument scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating",15,wikibase-item,cluster_0
P121,equipment operated,equipment currently or formerly used by subject,equipment operated equipment currently or formerly used by subject,3274,wikibase-item,cluster_0
P122,basic form of government,the subject's government,basic form of government the subject's government,628,wikibase-item,cluster_0
P123,publisher,"organization responsible for publishing books, periodicals or software","publisher organization responsible for publishing books, periodicals or software",41005,wikibase-item,cluster_0
P126,maintained by,organization in charge of keeping the subject (for instance an infrastructure) in functioning order,maintained by organization in charge of keeping the subject (for instance an infrastructure) in functioning order,13264,wikibase-item,cluster_0
P1264,valid in period,time period when a statement is valid,valid in period time period when a statement is valid,17,wikibase-item,cluster_0
P127,owned by,owner of the subject,owned by owner of the subject,26689,wikibase-item,cluster_0
P1283,filmography,list of films a person has contributed to,filmography list of films a person has contributed to,128,wikibase-item,cluster_0
P129,physically interacts with,physical entity that the subject interacts with,physically interacts with physical entity that the subject interacts with,13,wikibase-item,cluster_0
P1290,godparent,person who is the godparent of a given person,godparent person who is the godparent of a given person,22,wikibase-item,cluster_0
P1299,depicted by,object depicting this subject,depicted by object depicting this subject,48,wikibase-item,cluster_0
P1302,primary destinations,major cities that a road serves,primary destinations major cities that a road serves,68,wikibase-item,cluster_0
P1303,instrument,instrument that a person plays,instrument instrument that a person plays,25238,wikibase-item,cluster_0
P1308,officeholder,person who holds an office,officeholder person who holds an office,136,wikibase-item,cluster_0
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity,located in the administrative territorial entity the item is located on the territory of the following administrative entity,2369539,wikibase-item,cluster_0
P1312,has facet polytope,"facet of a polytope, in the next-lower dimension","has facet polytope facet of a polytope, in the next-lower dimension",928,wikibase-item,cluster_0
P1313,office held by head of government,political office that is fulfilled by the head of the government of this item,office held by head of government political office that is fulfilled by the head of the government of this item,2162,wikibase-item,cluster_0
P1318,proved by,person who proved something,proved by person who proved something,20,wikibase-item,cluster_0
P1321,place of origin (Switzerland),lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence,place of origin (Switzerland) lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence,1687,wikibase-item,cluster_0
P1322,dual to,"dual of a polytope, graph or curve","dual to dual of a polytope, graph or curve",273,wikibase-item,cluster_0
P1336,territory claimed by,administrative divisions that claim control of a given area,territory claimed by administrative divisions that claim control of a given area,40,wikibase-item,cluster_0
P134,has dialect,dialects of this language (a single language may be linked to many dialects),has dialect dialects of this language (a single language may be linked to many dialects),217,wikibase-item,cluster_0
P1340,eye color,color of the irises of a person's eyes,eye color color of the irises of a person's eyes,783,wikibase-item,cluster_0
P1343,described by source,dictionary or encyclopaedia where this item is described,described by source dictionary or encyclopaedia where this item is described,33109,wikibase-item,cluster_0
P1344,participant of,"event a person was a participant in, inverse of P710","participant of event a person was a participant in, inverse of P710",145683,wikibase-item,cluster_0
P1346,winner,winner of an event,winner winner of an event,1047,wikibase-item,cluster_0
P135,movement,"literary, artistic or philosophical movement associated with this person or work","movement literary, artistic or philosophical movement associated with this person or work",9713,wikibase-item,cluster_0
P136,genre,genre of a creative work or genre in which an artist works,genre genre of a creative work or genre in which an artist works,251784,wikibase-item,cluster_0
P1363,points/goal scored by,person who scored a point or goal in a game,points/goal scored by person who scored a point or goal in a game,75,wikibase-item,cluster_0
P137,operator,"organization that operates the service, facility, ship, aircraft, missile","operator organization that operates the service, facility, ship, aircraft, missile",36949,wikibase-item,cluster_0
P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat","capital of country, state, department, canton or other administrative division of which the municipality is the governmental seat",187,wikibase-item,cluster_0
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language)","named after entity or event that inspired the subject's name, or namesake (in at least one language)",38419,wikibase-item,cluster_0
P1383,contains settlement,settlement which an administrative division contains,contains settlement settlement which an administrative division contains,19189,wikibase-item,cluster_0
P1387,political alignment,political position within the political spectrum,political alignment political position within the political spectrum,48,wikibase-item,cluster_0
P1389,product certification,"certification for a product, qualify with P1001 (applies to jurisdiction"") if needed""","product certification certification for a product, qualify with P1001 (applies to jurisdiction"") if needed""",2536,wikibase-item,cluster_0
P1393,proxy,person authorized to act for another,proxy person authorized to act for another,10,wikibase-item,cluster_0
P1398,replaced by structure,building/structure which replaced the subject building or structure at the same location,replaced by structure building/structure which replaced the subject building or structure at the same location,11,wikibase-item,cluster_0
P1399,convicted of,crime a person was convicted of,convicted of crime a person was convicted of,2440,wikibase-item,cluster_0
P140,religion,religion of a person or organization (MUST be claimed by the subject or documented by historical sources),religion religion of a person or organization (MUST be claimed by the subject or documented by historical sources),28815,wikibase-item,cluster_0
P1403,original combination,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published,original combination for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published,246,wikibase-item,cluster_0
P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to,licensed to broadcast to place that a radio/TV station is licensed/required to broadcast to,27,wikibase-item,cluster_0
P141,IUCN conservation status,conservation status assigned by the International Union for Conservation of Nature,IUCN conservation status conservation status assigned by the International Union for Conservation of Nature,73328,wikibase-item,cluster_0
P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from award received"" (Property:P166))""","nominated for award nomination received by a person, organisation or creative work (inspired from award received"" (Property:P166))""",1438,wikibase-item,cluster_0
P1412,languages spoken or published,language(s) that a person speaks or writes. Can include native languages,languages spoken or published language(s) that a person speaks or writes. Can include native languages,61028,wikibase-item,cluster_0
P1414,GUI toolkit or framework,framework or toolkit a program uses to display the graphical user interface,GUI toolkit or framework framework or toolkit a program uses to display the graphical user interface,127,wikibase-item,cluster_0
P1416,affiliation,organization that a person is affiliated with,affiliation organization that a person is affiliated with,68,wikibase-item,cluster_0
P1419,shape,geometric shape of an object,shape geometric shape of an object,118,wikibase-item,cluster_0
P1420,taxon synonym,synonym(s) of the taxon name,taxon synonym synonym(s) of the taxon name,231,wikibase-item,cluster_0
P1427,journey origin,"starting place of this journey, flight, voyage, trek, etc. (excl. spaceflight launch)","journey origin starting place of this journey, flight, voyage, trek, etc. (excl. spaceflight launch)",121,wikibase-item,cluster_0
P1429,pet,pet that a person owns,pet pet that a person owns,16,wikibase-item,cluster_0
P143,imported from,source of this claim's value (use only in References section),imported from source of this claim's value (use only in References section),765,wikibase-item,cluster_0
P1431,executive producer,executive producer of a movie or TV show,executive producer executive producer of a movie or TV show,158,wikibase-item,cluster_0
P1433,published in,larger work that a given work was published in,published in larger work that a given work was published in,5722,wikibase-item,cluster_0
P1434,describes the fictional universe,"the subject is a work describing a fictional universe, ie where the plot occurs in this universe.","describes the fictional universe the subject is a work describing a fictional universe, ie where the plot occurs in this universe.",441,wikibase-item,cluster_0
P1435,heritage status,the heritage status of a historical site,heritage status the heritage status of a historical site,168464,wikibase-item,cluster_0
P144,based on,the work(s) used as basis for subject,based on the work(s) used as basis for subject,7815,wikibase-item,cluster_0
P1441,present in work,work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information,present in work work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information,5766,wikibase-item,cluster_0
P1444,journey destination,"intended destination for this journey, flight, sailing, exploration, etc.","journey destination intended destination for this journey, flight, sailing, exploration, etc.",107,wikibase-item,cluster_0
P1445,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> described in the work:"" <work>""","fictional universe described in to link a fictional universe with a work that describes it: <universe> described in the work:"" <work>""",93,wikibase-item,cluster_0
P1454,legal form,legal form of an organization,legal form legal form of an organization,405,wikibase-item,cluster_0
P1455,list of works,link to the article with the works of a person,list of works link to the article with the works of a person,42,wikibase-item,cluster_0
P1456,list of monuments,link to the list of heritage monuments in the place/area,list of monuments link to the list of heritage monuments in the place/area,4212,wikibase-item,cluster_0
P1462,standards body,body or organisation responsible for publication and maintenance of standard,standards body body or organisation responsible for publication and maintenance of standard,221,wikibase-item,cluster_0
P149,architectural style,architectural style of a structure or architect,architectural style architectural style of a structure or architect,17753,wikibase-item,cluster_0
P150,contains administrative territorial entity,(list of) direct subdivisions of an administrative entity,contains administrative territorial entity (list of) direct subdivisions of an administrative entity,860305,wikibase-item,cluster_0
P1532,country for sport,country a person represents when playing a sport,country for sport country a person represents when playing a sport,18,wikibase-item,cluster_0
P1533,family name identical to this first name,last name that is the same as a given first name. Use on items for given names.,family name identical to this first name last name that is the same as a given first name. Use on items for given names.,501,wikibase-item,cluster_0
P1535,used by,"person or organization that uses a given object, for buildings use P466","used by person or organization that uses a given object, for buildings use P466",34,wikibase-item,cluster_0
P1546,motto,description of the motto of the subject,motto description of the motto of the subject,11,wikibase-item,cluster_0
P1552,has quality,the entity has an inherent or distinguishing non-material characteristic that cannot be migrated,has quality the entity has an inherent or distinguishing non-material characteristic that cannot be migrated,55,wikibase-item,cluster_0
P1557,manifestation of,this is the physical embodiment of a given concept,manifestation of this is the physical embodiment of a given concept,14,wikibase-item,cluster_0
P1558,tempo marking,indication about the speed or pace of a given musical piece,tempo marking indication about the speed or pace of a given musical piece,17,wikibase-item,cluster_0
P1560,given name version for other gender,"equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one","given name version for other gender equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one",264,wikibase-item,cluster_0
P157,killed by,person who killed the subject,killed by person who killed the subject,329,wikibase-item,cluster_0
P1574,exemplar of,"property for manuscripts, autographs, incunabula, distinct printed copies","exemplar of property for manuscripts, autographs, incunabula, distinct printed copies",76,wikibase-item,cluster_0
P1576,lifestyle,"typical way of life of an individual, group, or culture","lifestyle typical way of life of an individual, group, or culture",580,wikibase-item,cluster_0
P1582,natural product of taxon,"links a natural product with its source (animal, plant, fungal, algal, etc)","natural product of taxon links a natural product with its source (animal, plant, fungal, algal, etc)",75,wikibase-item,cluster_0
P159,headquarters location,specific location where an organization's HQ is or has been situated,headquarters location specific location where an organization's HQ is or has been situated,15039,wikibase-item,cluster_0
P1597,Slovene Cultural Heritage designation,type of cultural heritage as designated by the Slovene Cultural Heritage Registry (RKD),Slovene Cultural Heritage designation type of cultural heritage as designated by the Slovene Cultural Heritage Registry (RKD),1454,wikibase-item,cluster_0
P1598,consecrator,bishop who presided as consecrator or co-consecrator of this bishop,consecrator bishop who presided as consecrator or co-consecrator of this bishop,84,wikibase-item,cluster_0
P16,highway system,system of which the highway is a part,highway system system of which the highway is a part,18856,wikibase-item,cluster_0
P161,cast member,"production's cast members; to add the roles, use character role"" (P453) as qualifier""","cast member production's cast members; to add the roles, use character role"" (P453) as qualifier""",572590,wikibase-item,cluster_0
P1611,NATO code for grade,NATO Code for Grades of Military Personnel,NATO code for grade NATO Code for Grades of Military Personnel,27,wikibase-item,cluster_0
P162,producer,"producer(s) of this film or music work (film: not executive producers, associate producers, etc.)","producer producer(s) of this film or music work (film: not executive producers, associate producers, etc.)",43630,wikibase-item,cluster_0
P1629,subject item of this property,item corresponding exactly to the concept represented by the property (use in statements on properties),subject item of this property item corresponding exactly to the concept represented by the property (use in statements on properties),415,wikibase-item,cluster_0
P163,flag,subject's flag,flag subject's flag,1885,wikibase-item,cluster_0
P1637,undercarriage,type of aircraft landing gear the item is equipped with,undercarriage type of aircraft landing gear the item is equipped with,81,wikibase-item,cluster_0
P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always","pendant of other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always",161,wikibase-item,cluster_0
P1654,wing configuration,configuration of wing(s) used by an aircraft,wing configuration configuration of wing(s) used by an aircraft,509,wikibase-item,cluster_0
P1657,MPAA film rating,US film-rating system,MPAA film rating US film-rating system,11,wikibase-item,cluster_0
P166,award received,"award or recognition received by a person, organisation or creative work","award received award or recognition received by a person, organisation or creative work",282664,wikibase-item,cluster_0
P1672,this taxon is source of,"links a taxon to natural products it produces. Note that it does not say this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon.""","this taxon is source of links a taxon to natural products it produces. Note that it does not say this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon.""",72,wikibase-item,cluster_0
P169,chief executive officer,highest-ranking corporate officer appointed as the CEO within an organization,chief executive officer highest-ranking corporate officer appointed as the CEO within an organization,338,wikibase-item,cluster_0
P17,country,sovereign state of this item,country sovereign state of this item,3064161,wikibase-item,cluster_0
P170,creator,maker of a creative work or other object (where no more specific property exists),creator maker of a creative work or other object (where no more specific property exists),37502,wikibase-item,cluster_0
P171,parent taxon,closest parent taxon of the taxon in question,parent taxon closest parent taxon of the taxon in question,1859849,wikibase-item,cluster_0
P1716,brand,brand of a product,brand brand of a product,149,wikibase-item,cluster_0
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).","ethnic group subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).",9757,wikibase-item,cluster_0
P1731,Fach,describes the special ablilites of an operatic singers voice,Fach describes the special ablilites of an operatic singers voice,214,wikibase-item,cluster_0
P1740,category for films shot at this location,the object is a category for films shot at/in the subject,category for films shot at this location the object is a category for films shot at/in the subject,1188,wikibase-item,cluster_0
P175,performer,"musician, music group, or other performer associated with this work, actor portraying a character","performer musician, music group, or other performer associated with this work, actor portraying a character",142689,wikibase-item,cluster_0
P1750,name day,"day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from feast day"" (P:P841)""","name day day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from feast day"" (P:P841)""",1363,wikibase-item,cluster_0
P1753,list related to category,Wikimedia list equivalent to a Wikimedia category,list related to category Wikimedia list equivalent to a Wikimedia category,164,wikibase-item,cluster_0
P1754,category related to list,Wikimedia category equivalent to a Wikimedia list,category related to list Wikimedia category equivalent to a Wikimedia list,163,wikibase-item,cluster_0
P176,manufacturer,main manufacturer of this product (excluding sub-contracted manufacturers),manufacturer main manufacturer of this product (excluding sub-contracted manufacturers),20769,wikibase-item,cluster_0
P177,crosses,"obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under","crosses obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under",3109,wikibase-item,cluster_0
P178,developer,organisation or person that developed this item,developer organisation or person that developed this item,15908,wikibase-item,cluster_0
P180,depicts,depicted entity (see also P921: subject heading),depicts depicted entity (see also P921: subject heading),52289,wikibase-item,cluster_0
P1817,addressee,person or organization to whom a letter or note is addressed,addressee person or organization to whom a letter or note is addressed,11,wikibase-item,cluster_0
P183,endemic to,sole location or habitat type where the taxon lives,endemic to sole location or habitat type where the taxon lives,616,wikibase-item,cluster_0
P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,doctoral advisor person who supervised the doctorate or PhD thesis of the subject,632,wikibase-item,cluster_0
P185,doctoral student,doctoral student(s) of a professor,doctoral student doctoral student(s) of a professor,249,wikibase-item,cluster_0
P186,material used,material the subject is made of,material used material the subject is made of,44497,wikibase-item,cluster_0
P189,location of discovery,where the item was located when discovered,location of discovery where the item was located when discovered,306,wikibase-item,cluster_0
P19,place of birth,"the most specific known (e.g. city instead of country, or hospital instead of city)","place of birth the most specific known (e.g. city instead of country, or hospital instead of city)",737895,wikibase-item,cluster_0
P190,sister city,"twin towns, sister cities, twinned municipalities and other localities","sister city twin towns, sister cities, twinned municipalities and other localities",38470,wikibase-item,cluster_0
P193,main building contractor,the main organization responsible for construction of this structure or building,main building contractor the main organization responsible for construction of this structure or building,358,wikibase-item,cluster_0
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council","legislative body legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",807,wikibase-item,cluster_0
P195,collection,"art, museum or bibliographic collection the subject is part of","collection art, museum or bibliographic collection the subject is part of",40197,wikibase-item,cluster_0
P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,minor planet group is in grouping of minor planets according to similar orbital characteristics,50391,wikibase-item,cluster_0
P197,adjacent station,"the stations next to this station, sharing the same line(s)","adjacent station the stations next to this station, sharing the same line(s)",25025,wikibase-item,cluster_0
P199,business division,divisions of this organization,business division divisions of this organization,467,wikibase-item,cluster_0
P20,place of death,"the most specific known (e.g. city instead of country, or hospital instead of city)","place of death the most specific known (e.g. city instead of country, or hospital instead of city)",339545,wikibase-item,cluster_0
P200,lake inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none","lake inflows major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",436,wikibase-item,cluster_0
P201,lake outflow,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation","lake outflow rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation",353,wikibase-item,cluster_0
P205,basin country,countries that have drainage to/from or border the lake,basin country countries that have drainage to/from or border the lake,161,wikibase-item,cluster_0
P206,located next to body of water,lake or river,located next to body of water lake or river,1066,wikibase-item,cluster_0
P208,executive body,branch of government for the daily administration of the state,executive body branch of government for the daily administration of the state,71,wikibase-item,cluster_0
P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization","highest judicial authority supreme judicial body within a country, administrative division, or other organization",60,wikibase-item,cluster_0
P21,sex or gender,"Sexual identity of  subject. Main: male (Q6581097), female (Q6581072), transgender female (Q1052281),  transgender male (Q2449503). For animals, use male animal (Q44148), female animal (Q43445). For groups of  same gender, use subclass of"" (P279)""","sex or gender Sexual identity of  subject. Main: male (Q6581097), female (Q6581072), transgender female (Q1052281),  transgender male (Q2449503). For animals, use male animal (Q44148), female animal (Q43445). For groups of  same gender, use subclass of"" (P279)""",2611401,wikibase-item,cluster_0
P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),party chief representative chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),28,wikibase-item,cluster_0
P22,father,male parent,father male parent,43525,wikibase-item,cluster_0
P237,coat of arms,subject's coat of arms,coat of arms subject's coat of arms,1677,wikibase-item,cluster_0
P241,military branch,"the branch to which this military unit, award, or person belongs, e.g. Royal Navy","military branch the branch to which this military unit, award, or person belongs, e.g. Royal Navy",27526,wikibase-item,cluster_0
P248,stated in,"to be used in the source field, to indicate where a claim is made","stated in to be used in the source field, to indicate where a claim is made",62,wikibase-item,cluster_0
P25,mother,female parent,mother female parent,16945,wikibase-item,cluster_0
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use cohabitant"" for non-married companions""","spouse the subject has the object as their spouse (husband, wife, partner, etc.). Use cohabitant"" for non-married companions""",31651,wikibase-item,cluster_0
P263,official residence,the residence at which heads of government and other senior figures officially reside,official residence the residence at which heads of government and other senior figures officially reside,305,wikibase-item,cluster_0
P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,record label brand and trademark associated with the marketing of subject music recordings and music videos,110151,wikibase-item,cluster_0
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,country of citizenship the object is a country that recognizes the subject as its citizen,1463056,wikibase-item,cluster_0
P272,production company,"company that produced this film, audio or performing arts work","production company company that produced this film, audio or performing arts work",27287,wikibase-item,cluster_0
P275,license,license under which this copyrighted work is released,license license under which this copyrighted work is released,3324,wikibase-item,cluster_0
P276,location,"location the item, physical object or event is within.  In case of an administrative entity use P131. In case of a distinct terrain feature use P706.","location location the item, physical object or event is within.  In case of an administrative entity use P131. In case of a distinct terrain feature use P706.",217406,wikibase-item,cluster_0
P277,programming language,the programming language(s) in which the software is developed,programming language the programming language(s) in which the software is developed,1241,wikibase-item,cluster_0
P282,writing system,"alphabet, character set or other system of writing used by subject language","writing system alphabet, character set or other system of writing used by subject language",891,wikibase-item,cluster_0
P286,team manager,"on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)","team manager on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)",2435,wikibase-item,cluster_0
P287,designer,designer of this item,designer designer of this item,4187,wikibase-item,cluster_0
P289,ship class,ship classification (e.g. Nelson-class battleship),ship class ship classification (e.g. Nelson-class battleship),5175,wikibase-item,cluster_0
